"URL","Number of out links"
"https://www.debate.com.mx/usa/","374"
"https://www.debate.com.mx/usa/noticias/Trump-retira-nominacion-para-jefe-del-ICE-20190405-0001.html","156"
"https://www.debate.com.mx/estados-unidos-t685972","142"
"https://www.debate.com.mx/usa/show/Dolor-y-gloria-la-pelicula-mas-intima-de-Almodovar-20190322-0001.html","156"
"https://www.debate.com.mx/pedro-almodovar-t659720","141"
"https://www.debate.com.mx/site/notificaciones/","113"
"https://www.debate.com.mx/","369"
"https://www.debate.com.mx/noticias-de-hoy/","164"
"https://www.debate.com.mx/buscar.html?search=coronavirus+en+mexico","138"
"https://www.debate.com.mx/balacera-en-culiacan-t696774","140"
"https://www.debate.com.mx/avion-presidencial-t670882","137"
"https://www.debate.com.mx/sinaloa/","371"
"https://www.debate.com.mx/america/","373"
"https://www.debate.com.mx/mundo/Trump-prohibe-la-entrada-a-EU-desde-Iran-por-el-avance-del-coronavirus-20200229-0165.html","183"
"https://www.debate.com.mx/coronavirus-t704503","141"
"https://www.debate.com.mx/columnista/EFE","142"
"https://www.debate.com.mx/columnista/AP","143"
"https://www.debate.com.mx/mundo/Primer-muerto-por-coronavirus-en-Estados-Unidos-20200229-0111.html","181"
"https://www.debate.com.mx/mundo/Trump-estudia-restricciones-en-frontera-con-Mexico-por-coronavirus-20200229-0172.html","180"
"https://www.debate.com.mx/mundo/Estados-Unidos-pide-a-reconsiderar-los-viajes-a-Italia-20200229-0134.html","182"
"https://www.debate.com.mx/mundo/Cada-cuanto-hay-ano-bisiesto-20200229-0097.html","179"
"https://www.debate.com.mx/ano-bisiesto-t709781","109"
"https://www.debate.com.mx/staff/ivette.vazquez","151"
"https://www.debate.com.mx/salud/Estadounideses-crean-metodo-para-detectar-senales-tempranas-de-coronavirus-20200229-0094.html","177"
"https://www.debate.com.mx/staff/newyorktimes","149"
"https://www.debate.com.mx/show/Ozuna-conquista-al-polemico-publico-de-Vina-del-Mar-con-sus-exitos-20200229-0090.html","168"
"https://www.debate.com.mx/ozuna-t690267","141"
"https://www.debate.com.mx/staff/carlos.barrios","149"
"https://www.debate.com.mx/show/Adam-Levine-vocalista-de-Maroon-5-pide-perdon-a-fans-de-Chile-20200229-0096.html","171"
"https://www.debate.com.mx/maroon-5-t657678","141"
"https://www.debate.com.mx/staff/finzunza","149"
"https://www.debate.com.mx/mundo/Personal-sanitario-que-visito-bases-de-EU-no-estaba-preparado-sostiene-NYT-20200229-0071.html","180"
"https://www.debate.com.mx/cdmx/Sheinbaum-asegura-que-CDMX-esta-en-Fase-1-del-COVID-19-20200229-0218.html","183"
"https://www.debate.com.mx/cdmx-t641084","140"
"https://www.debate.com.mx/columnista/eldebate","141"
"https://www.debate.com.mx/salud/Como-hacer-un-cubrebocas--20200228-0146.html","186"
"https://www.debate.com.mx/coronavirus-sinaloa-t709654","141"
"https://www.debate.com.mx/salud/El-coronavirus-y-el-SARS-no-estan-relacionados-OMS-20200229-0024.html","180"
"https://www.debate.com.mx/staff/ramon.verdin","150"
"https://www.debate.com.mx/salud/Coronavirus-podria-propagarse-tan-rapido-por-transmision-fecal--20200228-0152.html","181"
"https://www.soycarmin.com/stories/malvadas/","1"
"https://www.debate.com.mx/stories/vuelosbaratos/","1"
"https://www.debate.com.mx/stories/cutting/","1"
"https://www.debate.com.mx/stories/bigone/","1"
"https://www.albat.com/stories/bambino/","1"
"https://www.debate.com.mx/deportes/Videos-Con-doblete-de-Carlos-Vela-LAFC-elimina-al-Leon-de-la-Concachampions-20200227-0313.html","191"
"https://www.debate.com.mx/concacaf-liga-de-campeones-t667129","141"
"https://www.debate.com.mx/show/La-cara-de-miedo-de-Juan-Gabriel-al-ver-a-Maria-Felix-20200228-0121.html","178"
"https://www.debate.com.mx/maria-felix-t661620","141"
"https://www.debate.com.mx/cdmx/Confirman-tercer-caso-de-coronavirus-en-Mexico-20200228-0295.html","177"
"https://www.debate.com.mx/coronavirus-mexico-t709652","140"
"https://www.debate.com.mx/estados/Cuanto-cuestan-y-donde-comprar-mascarillas-para-coronavirus-20200228-0028.html","185"
"https://www.debate.com.mx/deportes/Andy-Ruiz-presume-su-vida-de-millonario-en-Instagram-20200228-0181.html","182"
"https://www.debate.com.mx/andy-ruiz-jr-t678156","141"
"https://www.debate.com.mx/show/Niurka-Marcos-escandaliza-con-su-presencia-en-programa-matutino-20200229-0251.html","180"
"https://www.debate.com.mx/niurka-marcos-t646249","141"
"https://www.debate.com.mx/staff/gilberto.coronel","149"
