"URL","Number of out links"
"https://www.debate.com.mx/usa/","371"
"https://www.debate.com.mx/usa/noticias/Trump-retira-nominacion-para-jefe-del-ICE-20190405-0001.html","155"
"https://www.debate.com.mx/estados-unidos-t685972","140"
"https://www.debate.com.mx/usa/show/Dolor-y-gloria-la-pelicula-mas-intima-de-Almodovar-20190322-0001.html","155"
"https://www.debate.com.mx/pedro-almodovar-t659720","139"
"https://www.debate.com.mx/site/notificaciones/","111"
"https://www.debate.com.mx/","371"
"https://www.debate.com.mx/noticias-de-hoy/","160"
"https://www.debate.com.mx/feminicidio-fatima-t708457","137"
"https://www.debate.com.mx/coronavirus-t704503","139"
